,City,Country,Latitude,Longtitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
51,Sumenep,ID,-7.0167,113.8667,82.51,76,99,5.55,1613009176
52,Cape Town,ZA,-33.9258,18.4232,68.0,88,0,11.5,1613008946
53,Markova,UA,48.6758,24.4138,34.11,94,100,1.63,1613009176
54,Port Alfred,ZA,-33.5906,26.891,71.01,94,12,4.34,1613009176
55,Airai,TL,-8.9266,125.4092,73.69,76,94,2.08,1613009176
56,Tuatapere,NZ,-46.1333,167.6833,52.07,85,100,14.61,1613009086
57,Clyde River,CA,70.4692,-68.5914,5.0,92,0,26.8,1613009176
58,Poum,NC,-20.2333,164.0167,79.29,74,2,16.33,1613009176
59,Atuona,PF,-9.8,-139.0333,78.71,80,2,17.25,1613009176
60,Jimma,ET,7.6667,36.8333,60.67,70,100,0.16,1613009177
61,Thompson,CA,55.7435,-97.8558,-23.8,76,40,6.91,1613009002
62,Katherine,AU,-14.4667,132.2667,84.2,79,40,8.05,1613009177
63,Tura,IN,25.5198,90.2201,66.45,45,0,1.39,1613009014
64,Babstovo,RU,48.1167,132.4833,15.26,91,43,3.47,1613009177
65,Caravelas,BR,-17.7125,-39.2481,75.63,83,3,4.72,1613009055
66,Arraial do Cabo,BR,-22.9661,-42.0278,74.59,82,100,5.48,1613009177
67,Busselton,AU,-33.65,115.3333,64.0,66,61,3.0,1613008982
68,Fortuna,US,40.5982,-124.1573,50.0,81,1,10.36,1613009177
69,Katsuura,JP,35.1333,140.3,55.0,35,20,19.57,1613008951
70,Kapaa,US,22.0752,-159.319,75.2,53,40,10.36,1613009177
71,Chokurdakh,RU,70.6333,147.9167,-12.35,89,74,6.91,1613009177
72,Ouégoa,NC,-20.35,164.4333,83.77,60,22,6.22,1613009178
73,Luga,RU,58.7372,29.8453,7.63,95,100,6.42,1613009178
74,Sittwe,MM,20.15,92.9,67.37,53,0,5.35,1613009178
75,Luorong,CN,24.4058,109.6086,58.01,72,0,7.58,1613009178
76,La Rioja,ES,42.25,-2.5,37.4,93,0,2.3,1613009178
77,Ōfunato,JP,39.0717,141.7167,37.4,60,75,8.05,1613009178
78,Vallenar,CL,-28.5708,-70.7581,62.35,73,14,1.81,1613009178
79,Mossamedes,AO,-15.1961,12.1522,72.86,73,100,3.65,1613009174
80,Wasilla,US,61.5814,-149.4394,19.99,86,90,3.44,1613009178
81,Arawa,PG,-6.2132,155.5367,84.7,74,83,5.06,1613009178
82,Vila Velha,BR,-20.3297,-40.2925,82.0,88,40,4.61,1613008964
83,Khani,GE,41.9563,42.9566,44.6,87,0,6.91,1613009178
84,New Norfolk,AU,-42.7826,147.0587,75.0,32,93,1.01,1613009178
85,Bethel,US,41.3712,-73.414,24.01,79,90,1.3,1613008995
86,Ransang,PH,8.9603,117.5828,83.08,70,19,4.29,1613009178
87,Lipari,IT,38.4674,14.954,57.99,54,100,4.0,1613009179
88,Nikolskoye,RU,59.7035,30.7861,7.0,85,20,4.0,1613009004
89,Upernavik,GL,72.7868,-56.1549,-1.97,91,100,13.44,1613009025
90,Yangi Marg`ilon,UZ,40.4272,71.7189,41.0,81,54,2.3,1613009179
91,Bluff,NZ,-46.6,168.3333,52.83,87,100,30.49,1613009179
92,Grootfontein,NA,-19.5667,18.1167,62.46,96,100,9.75,1613009179
93,Cidreira,BR,-30.1811,-50.2056,73.42,83,87,14.65,1613009179
94,Butaritari,KI,3.0707,172.7902,81.7,76,100,14.72,1613009179
95,Lavrentiya,RU,65.5833,-171.0,-26.01,80,0,9.42,1613009179
96,Celestún,MX,20.8667,-90.4,77.79,71,19,12.1,1613009179
97,Poya,NC,-21.35,165.15,79.12,74,80,8.57,1613009179
98,Punta Arenas,CL,-53.15,-70.9167,55.4,82,90,6.91,1613009179
99,Bambous Virieux,MU,-20.3428,57.7575,79.0,78,40,13.8,1613009180
100,Makkah al Mukarramah,SA,21.4267,39.8261,73.02,54,0,4.16,1613008998
101,Jamestown,US,42.097,-79.2353,19.0,86,90,5.75,1613008994
102,Muzhi,RU,65.3667,64.6667,-18.85,82,93,4.74,1613009180
103,Provideniya,RU,64.3833,-173.3,-7.6,64,0,22.37,1613009180
104,Almaznyy,RU,48.0448,40.045,44.6,100,90,8.95,1613009180
105,Haines Junction,CA,60.7522,-137.5108,-22.0,57,0,1.59,1613009180
106,Lieksa,FI,63.3167,30.0167,-2.99,92,31,2.89,1613009180
107,Faanui,PF,-16.4833,-151.75,82.11,69,0,17.36,1613009180
108,Lorengau,PG,-2.0226,147.2712,82.92,75,100,10.29,1613009180
109,Mataura,NZ,-46.1927,168.8643,50.25,87,100,13.06,1613009180
110,Vokhma,RU,58.9303,46.7586,-12.84,89,55,5.19,1613009180
111,Mil'kovo,RU,54.7167,158.6167,23.5,95,100,14.74,1613009180
112,Nome,US,64.5011,-165.4064,-7.6,49,1,5.75,1613009115
113,Tayshet,RU,55.9342,98.0044,-5.22,89,100,5.03,1613009180
114,Ribeira Grande,PT,38.5167,-28.7,58.32,65,45,34.29,1613009181
115,Tromsø,NO,69.6496,18.957,26.6,93,75,2.3,1613009031
116,San Cristobal,VE,7.7669,-72.225,64.8,89,2,2.37,1613009181
117,Kamenka,RU,51.3223,42.7678,27.0,96,100,11.21,1613009181
118,Hamilton,US,39.1834,-84.5333,21.99,86,90,6.91,1613009100
119,Grindavik,IS,63.8424,-22.4338,35.6,80,75,14.97,1613009181
120,Kalabo,ZM,-14.97,22.6814,67.08,81,100,2.33,1613009094
121,Longyearbyen,SJ,78.2186,15.6401,6.8,72,75,18.41,1613009022
122,Te Anau,NZ,-45.4167,167.7167,52.45,78,100,6.04,1613009045
123,Saskylakh,RU,71.9167,114.0833,-22.99,83,0,6.55,1613009016
124,Saint George,US,37.1041,-113.5841,59.0,30,20,4.61,1613009176
125,Morondava,MG,-20.2833,44.2833,78.75,83,100,14.07,1613009046
126,Souillac,MU,-20.5167,57.5167,78.8,78,40,13.8,1613009181
127,College,US,64.8569,-147.8028,6.8,56,75,3.44,1613009078
128,Amritsar,IN,31.6331,74.8656,51.8,100,90,0.63,1613009181
129,Galveston,US,29.3669,-94.9669,69.01,94,90,9.22,1613008944
130,Petropavlovka,RU,50.6114,105.3196,11.46,90,100,4.74,1613009181
131,Geraldton,AU,-28.7667,114.6,75.2,38,0,19.57,1613009181
132,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.0,64,40,24.61,1613009182
133,Cabo San Lucas,MX,22.8909,-109.9124,68.0,82,1,13.8,1613009019
134,Sonoita,MX,31.85,-112.8333,64.0,32,27,3.91,1613009182
135,Cayenne,GF,4.9333,-52.3333,75.2,100,90,2.3,1613009182
136,High Level,CA,58.5169,-117.136,-16.6,76,1,6.91,1613009182
137,Kavieng,PG,-2.5744,150.7967,82.99,76,84,9.01,1613009019
138,Berdigestyakh,RU,62.0989,126.6992,-7.8,88,0,5.41,1613008946
139,Galesong,ID,-5.3166,119.3661,86.0,74,20,5.75,1613009182
140,Constitución,CL,-35.3333,-72.4167,61.9,91,28,4.21,1613009182
141,Loei,TH,17.4167,101.5,68.0,94,0,2.3,1613008944
142,Tafalla,ES,42.5269,-1.6745,37.99,100,0,2.3,1613009182
143,Carnarvon,AU,-24.8667,113.6333,75.2,64,75,20.71,1613009182
144,Saint Paul Harbor,US,57.79,-152.4072,37.4,75,90,29.93,1613008915
145,Lüderitz,NA,-26.6481,15.1594,66.15,78,94,2.46,1613009182
146,Oddur,SO,4.1213,43.8894,66.2,88,62,18.32,1613009182
147,Broome,US,42.2506,-75.833,19.99,49,90,1.19,1613009183
148,Cherskiy,RU,68.75,161.3,-9.44,87,0,3.47,1613009047
149,Zhigansk,RU,66.7697,123.3711,-13.54,86,100,10.98,1613009083
150,Philadelphia,US,39.9523,-75.1638,34.0,60,90,3.44,1613009029
151,Ixtapa,MX,20.7,-105.2,69.8,78,90,8.05,1613009183
152,Tuy Hoa,VN,13.0833,109.3,70.83,80,100,9.95,1613009183
153,Hyères,FR,43.1167,6.1167,51.8,46,0,10.36,1613009183
154,Padang,ID,-0.9492,100.3543,80.6,74,20,1.14,1613008886
155,Lompoc,US,34.6391,-120.4579,53.6,76,1,9.22,1613009183
156,Valdivia,CL,-39.8142,-73.2459,62.6,77,0,3.44,1613009183
157,Jinchang,CN,38.4953,102.1739,37.72,61,0,1.88,1613009183
158,Telimele,GN,10.9167,-13.3333,64.53,81,18,1.48,1613009183
159,Knysna,ZA,-34.0363,23.0471,68.0,88,90,2.89,1613009183
160,Henties Bay,NA,-22.116,14.2845,68.0,90,99,6.51,1613009183
161,Dunedin,NZ,-45.8742,170.5036,64.0,51,64,1.01,1613009080
162,Mon,IN,26.75,95.1,65.55,54,24,0.2,1613009184
163,São Félix do Xingu,BR,-6.6447,-51.995,72.99,96,100,1.68,1613009184
164,Pedernales,DO,18.0384,-71.744,76.6,69,0,5.37,1613009184
165,Marion,US,39.7684,-86.1555,19.99,79,90,10.36,1613008941
166,Kondinskoye,RU,59.6481,67.41,-25.02,85,0,6.2,1613009184
167,Miraflores,MX,19.2167,-98.8083,62.6,63,75,4.61,1613009184
168,Yar-Sale,RU,66.8333,70.8333,-23.6,85,93,13.44,1613009184
169,Bengkulu,ID,-3.8004,102.2655,81.97,65,3,1.74,1613009075
170,Las Vegas,US,36.175,-115.1372,64.4,24,1,5.75,1613009140
171,Severo-Kuril'sk,RU,50.6789,156.125,28.0,91,100,19.55,1613009184
172,Andros Town,BS,24.7,-77.7667,73.4,88,40,8.05,1613009184
173,Iqaluit,CA,63.7506,-68.5145,3.2,78,20,4.61,1613008998
174,Hong Kong,HK,22.2855,114.1577,64.0,82,0,1.99,1613009097
175,Kolāras,IN,25.2333,77.6,58.64,50,0,3.47,1613009184
176,Wichita Falls,US,33.9137,-98.4934,23.0,86,90,12.66,1613009096
177,Bonthe,SL,7.5264,-12.505,77.32,89,5,4.54,1613009000
178,Vardø,NO,70.3705,31.1107,24.26,87,100,13.33,1613009185
179,Manuk Mangkaw,PH,4.8,119.85,83.17,69,1,0.49,1613009185
180,Mount Gambier,AU,-37.8333,140.7667,80.6,39,100,10.36,1613009185
181,Independence,US,39.0911,-94.4155,15.8,73,90,11.5,1613008927
182,Mtimbira,TZ,-8.7833,36.35,72.54,93,100,1.61,1613009185
183,Beliş,RO,46.65,23.0333,45.0,100,90,5.75,1613009185
184,Kandava,LV,57.0409,22.7747,13.48,96,100,6.69,1613009185
185,Storforshei,NO,66.4043,14.5233,3.99,82,100,1.99,1613009185
186,Guerrero Negro,MX,27.9769,-114.0611,57.61,71,66,17.9,1613009046
187,Banda Aceh,ID,5.5577,95.3222,82.08,72,2,4.05,1613009185
188,Norman Wells,CA,65.282,-126.8329,-22.0,76,20,5.75,1613009185
189,Kapoeta,SS,4.7717,33.5903,80.94,33,100,8.61,1613009185
190,Pevek,RU,69.7008,170.3133,-14.62,70,0,0.54,1613009185
191,Mount Isa,AU,-20.7333,139.5,93.2,43,40,10.36,1613009185
192,George Town,MY,5.4112,100.3354,82.4,78,20,3.44,1613009186
193,Alice Springs,AU,-23.7,133.8833,91.4,46,0,13.8,1613009186
194,Sioux Lookout,CA,50.1001,-91.917,-18.4,76,90,1.88,1613008935
195,Port Hardy,CA,50.6996,-127.4199,35.6,55,20,13.8,1613008983
196,Ilulissat,GL,69.2167,-51.1,10.4,67,20,11.5,1613009018
197,Safford,US,32.834,-109.7076,60.8,21,1,4.61,1613009186
198,Manavālakurichi,IN,8.1333,77.3,75.2,57,20,8.5,1613009186
199,San Vicente,AR,-26.6167,-54.1333,59.72,100,100,3.11,1613009186
200,Fernandina Beach,US,30.6697,-81.4626,62.01,97,90,5.75,1613009186
201,Sarakhs,IR,36.5449,61.1577,44.6,70,22,2.3,1613009186
202,Aykhal,RU,66.0,111.5,-18.76,86,6,5.46,1613009186
203,Port Blair,IN,11.6667,92.75,78.01,60,80,10.07,1613009186
204,Aklavik,CA,68.2191,-135.0107,-25.6,75,0,3.44,1613009186
205,East London,ZA,-33.0153,27.9116,74.32,89,1,10.09,1613009035
206,Udachny,RU,66.4167,112.4,-24.2,83,31,4.18,1613009186
207,Goderich,CA,43.7501,-81.7165,15.8,73,100,1.14,1613009187
208,Laas,IT,46.6166,10.7002,33.01,86,75,8.05,1613009008
209,Andenes,NO,69.3143,16.1194,28.4,59,75,8.05,1613009187
210,Kuching,MY,1.55,110.3333,82.4,83,20,2.3,1613009187
211,San Rafael,AR,-34.6177,-68.3301,71.85,43,5,6.98,1613009081
212,Vitória do Mearim,BR,-3.4622,-44.8706,74.41,98,98,2.77,1613009187
213,Hervey Bay,AU,-25.2986,152.8535,84.99,47,75,8.05,1613009187
214,Jinka,ET,5.65,36.65,67.15,57,74,1.99,1613009187
215,Kununurra,AU,-15.7667,128.7333,87.8,74,40,8.05,1613009187
216,Ambilobe,MG,-13.2,49.05,73.58,92,97,2.48,1613009187
217,Ganzhou,CN,28.8184,115.4327,54.41,86,95,3.87,1613009187
218,Guayatá,CO,4.9642,-73.4875,63.16,79,100,1.05,1613009187
219,Nioro,GM,13.35,-15.75,74.91,19,0,5.06,1613009187
220,Hasaki,JP,35.7333,140.8333,52.0,40,20,12.66,1613009035
221,Ust-Tsilma,RU,65.441,52.1498,-13.99,88,96,3.4,1613009052
222,Mbaïki,CF,3.8678,17.9892,66.36,26,72,2.28,1613009188
223,Kupino,RU,54.3663,77.2981,-29.42,86,0,5.19,1613009188
224,High Prairie,CA,55.4334,-116.4858,-22.0,69,97,4.61,1613009188
225,Oranjemund,NA,-28.55,16.4333,64.69,84,100,13.8,1613008908
226,Ejido,VE,8.5514,-71.2375,65.61,65,80,0.54,1613009188
227,Mar del Plata,AR,-38.0023,-57.5575,68.0,83,90,16.11,1613009188
228,Pangnirtung,CA,66.1451,-65.7125,5.77,70,0,2.33,1613009042
229,Portland,US,45.5234,-122.6762,43.0,49,40,2.84,1613008899
230,Hambantota,LK,6.1241,81.1185,68.0,100,100,3.44,1613009188
231,Kenai,US,60.5544,-151.2583,19.0,79,90,16.11,1613009188
232,Mahébourg,MU,-20.4081,57.7,78.8,78,40,13.8,1613009188
233,Uruçuí,BR,-7.2294,-44.5561,75.4,85,97,0.98,1613009188
234,San Borja,BO,-14.8167,-66.85,69.76,97,100,4.83,1613009188
235,Kaitangata,NZ,-46.2817,169.8464,57.0,62,100,15.99,1613009189
236,Glendive,US,47.1053,-104.7125,-6.0,70,90,8.05,1613009189
237,Vestmannaeyjar,IS,63.4427,-20.2734,40.98,69,100,29.04,1613009189
238,Gimbi,ET,9.1667,35.8333,52.68,46,69,1.86,1613009189
239,Ufa,RU,54.775,56.0375,-4.0,84,75,6.71,1613009189
240,La Ronge,CA,55.1001,-105.2842,-20.2,69,92,4.61,1613009189
241,Capinópolis,BR,-18.6819,-49.5697,73.72,65,39,1.48,1613009189
242,Boddam,GB,57.4667,-1.7833,30.99,92,0,2.3,1613009189
243,Ostrovnoy,RU,68.0531,39.5131,4.71,92,8,14.83,1613009069
244,Chumikan,RU,54.7183,135.315,5.25,87,77,15.41,1613009189
245,Nuquí,CO,5.7125,-77.2708,78.08,80,41,1.12,1613009189
246,Hofn,IS,64.2539,-15.2082,38.53,74,100,13.31,1613009189
247,Belyy Yar,RU,53.6039,91.3903,-0.4,60,0,11.18,1613009190
248,São Filipe,CV,14.8961,-24.4956,71.69,68,23,7.61,1613009190
249,Kazanskaya,RU,45.4106,40.4361,46.0,79,41,11.56,1613009190
250,Strezhevoy,RU,60.7333,77.5889,-20.2,76,100,8.95,1613009190
251,Troitskoye,RU,52.9821,84.6757,-19.21,87,100,4.94,1613009190
252,Kenitra,MA,34.261,-6.5802,50.0,100,2,4.54,1613009190
253,Coolum Beach,AU,-26.5333,153.1,79.0,73,69,5.01,1613009084
254,Meulaboh,ID,4.1363,96.1285,79.74,85,100,4.68,1613009041
255,Hualmay,PE,-11.0964,-77.6139,73.0,71,100,5.93,1613009190
256,Adrar,MR,20.5022,-10.0711,63.03,23,0,9.44,1613009190
257,Riverton,US,40.5219,-111.9391,44.01,65,90,5.75,1613009014
258,Nemuro,JP,43.3236,145.575,24.8,74,40,4.61,1613009190
259,Ovruch,UA,51.3246,28.8035,11.03,96,99,5.03,1613009191
260,Salalah,OM,17.0151,54.0924,73.4,38,0,6.91,1613009163
261,Tezu,IN,27.9167,96.1667,70.88,22,6,0.56,1613009191
262,Qujing,CN,25.4833,103.7833,45.63,79,21,4.76,1613009191
263,Emba,KZ,48.8264,58.1442,22.37,97,100,11.48,1613009191
264,Chiang Rai,TH,19.9167,99.9167,64.0,100,0,2.28,1613009191
265,Hirara,JP,24.8,125.2833,68.0,100,75,24.16,1613009191
266,Esperance,AU,-33.8667,121.9,64.4,59,90,17.27,1613008989
267,Aswān,EG,24.0934,32.907,64.8,40,60,8.86,1613009191
268,Matara,LK,5.9485,80.5353,72.14,81,71,6.46,1613009191
269,Pacific Grove,US,36.6177,-121.9166,53.6,76,1,4.61,1613009089
270,Boa Vista,BR,2.8197,-60.6733,80.6,57,0,8.05,1613009191
271,Jatai,BR,-17.8814,-51.7144,68.43,83,100,1.14,1613009191
272,Torbay,CA,47.6666,-52.7314,21.2,68,90,31.07,1613009112
273,Abū Zabad,SD,12.35,29.25,66.04,26,0,7.72,1613009191
274,Tashla,RU,51.7716,52.7427,15.93,97,100,8.9,1613009192
275,Brus Laguna,HN,15.75,-84.4833,72.27,95,0,2.95,1613009192
276,Acarí,PE,-15.4311,-74.6158,72.79,70,91,2.37,1613009192
277,Mangaratiba,BR,-22.9597,-44.0406,75.2,83,40,5.75,1613009192
278,Talcahuano,CL,-36.7167,-73.1167,59.0,94,90,4.61,1613009192
279,Westport,US,41.1415,-73.3579,30.99,51,90,2.98,1613009192
280,Khāsh,IR,28.2211,61.2158,45.01,47,100,2.35,1613009192
281,Aiquile,BO,-18.2041,-65.1807,54.84,92,100,4.59,1613009192
282,Chui,UY,-33.6971,-53.4616,69.44,88,17,10.13,1613009192
283,Vostochnyy,RU,55.8167,37.8667,5.0,78,40,6.71,1613009192
284,Grand Gaube,MU,-20.0064,57.6608,79.0,74,19,5.99,1613009192
285,Tiksi,RU,71.6872,128.8694,-11.81,89,8,4.03,1613009192
286,Aksu,CN,41.1231,80.2644,29.1,89,5,1.16,1613009085
287,La Libertad,EC,-2.2333,-80.9,77.07,80,100,4.63,1613009192
288,Jiuquan,CN,39.7432,98.5174,34.52,70,0,8.08,1613009193
289,Saint-Philippe,RE,-21.3585,55.7679,77.0,69,40,4.61,1613009193
290,Itoman,JP,26.1247,127.6694,66.2,72,75,23.02,1613009136
291,Baykit,RU,61.67,96.37,-14.58,85,100,2.44,1613009193
292,Shimoda,JP,34.6667,138.95,55.4,41,20,12.66,1613008994
293,Batemans Bay,AU,-35.7167,150.1833,79.0,73,0,8.99,1613009193
294,Laguna,US,38.421,-121.4238,66.2,59,1,5.75,1613009193
295,Karratha,AU,-20.7377,116.8463,92.43,46,0,8.39,1613009193
296,Ufimskiy,RU,56.7084,58.0517,-16.22,85,52,2.3,1613009193
297,Sola,VU,-13.8833,167.55,82.49,73,7,11.05,1613009193
298,Manakara,MG,-22.1333,48.0167,71.13,91,100,4.79,1613009193
299,Port Elizabeth,ZA,-33.918,25.5701,73.4,94,90,2.3,1613008993
300,Beringovskiy,RU,63.05,179.3167,-21.41,86,75,14.5,1613009193
301,Xihe,CN,31.6864,113.4659,55.74,45,0,3.65,1613009193
302,Zaoyang,CN,32.1272,112.7542,55.45,51,0,4.27,1613009193
303,Zhangye,CN,38.9342,100.4517,38.32,59,0,9.64,1613009194
304,Patos,BR,-7.0244,-37.28,78.82,74,59,9.01,1613009099
305,Guane,CU,22.2025,-84.0875,72.39,86,3,5.03,1613009194
306,Sur,OM,22.5667,59.5289,68.41,73,69,7.18,1613009194
307,San Juan,AR,-31.5375,-68.5364,77.68,38,26,7.14,1613009194
308,Killybegs,IE,54.6333,-8.45,30.99,78,62,8.99,1613009194
309,Northam,GB,51.0333,-4.2167,28.99,79,100,4.0,1613009194
310,Beloha,MG,-25.1667,45.05,71.11,85,100,7.61,1613009194
311,Grafton,US,42.207,-71.6856,19.4,58,1,5.75,1613009123
312,Mookane,BW,-23.688,26.6595,68.76,73,100,4.92,1613009194
313,Bay Roberts,CA,47.5999,-53.2648,21.2,68,90,31.07,1613009194
314,Kabalo,CD,-6.05,26.9167,70.88,93,100,2.06,1613009194
315,Zharkent,KZ,44.1628,80.0,30.24,97,98,3.31,1613009194
316,Avera,US,33.194,-82.5271,61.0,94,1,5.75,1613009195
317,Bilibino,RU,68.0546,166.4372,-4.2,86,97,2.19,1613009023
318,Tekeli,KZ,44.83,78.8239,32.32,95,100,4.21,1613009195
319,Los Llanos de Aridane,ES,28.6585,-17.9182,62.6,72,0,6.91,1613009176
320,Wakkanai,JP,45.4094,141.6739,28.4,69,75,13.8,1613009195
321,Tanout,NE,14.9709,8.8879,65.5,23,0,10.76,1613009195
322,Ginda,IN,30.6945,78.4932,44.53,38,0,6.31,1613009195
323,Bandarbeyla,SO,9.4942,50.8122,72.84,78,100,15.82,1613009195
324,Bulancak,TR,40.9372,38.2291,44.6,100,0,5.75,1613009005
325,Turukhansk,RU,65.8167,87.9833,-14.78,88,100,7.85,1613009195
326,Onega,RU,63.9061,38.1404,-5.58,89,100,4.65,1613009195
327,Tadine,NC,-21.55,167.8833,81.73,68,7,6.24,1613009195
328,Samarai,PG,-10.6167,150.6667,86.36,65,65,8.61,1613009197
329,Mastic Beach,US,40.7668,-72.8521,30.99,55,90,4.59,1613009197
330,Havre-St-Pierre,CA,50.2334,-63.5986,3.2,60,20,14.97,1613009197
331,Tucupita,VE,9.0622,-62.051,69.28,94,4,2.93,1613009197
332,Hithadhoo,MV,-0.6,73.0833,81.43,80,42,13.8,1613009197
333,Gáldar,ES,28.147,-15.6502,61.0,77,20,4.61,1613009197
334,Truro,GB,50.2653,-5.0544,39.2,74,100,17.27,1613009011
335,Umluj,SA,25.0213,37.2685,75.36,48,0,11.1,1613009197
336,Klaksvík,FO,62.2266,-6.589,24.8,86,20,1.14,1613008990
337,Ruidoso,US,33.3317,-105.673,46.4,19,1,9.37,1613009111
338,Mizdah,LY,31.4451,12.9801,55.42,36,0,8.88,1613009197
339,Puerto Madryn,AR,-42.7692,-65.0385,70.68,51,0,31.65,1613009197
340,Fairbanks,US,64.8378,-147.7164,6.8,72,1,2.57,1613009102
341,Kabinda,CD,-6.1333,24.4833,68.18,97,100,1.16,1613009198
342,Safaga,EG,26.7292,33.9365,62.6,36,0,8.05,1613009198
343,Krasnosel'kup,RU,65.7,82.4667,-23.93,86,100,4.52,1613009198
344,Hailar,CN,49.2,119.7,19.51,94,100,7.96,1613009050
345,Pathein,MM,16.7833,94.7333,72.88,47,0,4.68,1613009198
346,São José da Coroa Grande,BR,-8.8978,-35.1478,78.49,84,5,10.78,1613009198
347,Mazatlán,MX,23.2167,-106.4167,68.0,88,1,4.61,1613009081
348,Viedma,AR,-40.8135,-62.9967,66.0,74,9,1.99,1613009198
349,Ciudad Bolivar,VE,8.1222,-63.5497,79.43,59,77,14.45,1613009198
350,Touros,BR,-5.1989,-35.4608,80.6,78,75,9.22,1613009198
351,Burns Lake,CA,54.2331,-125.7533,-2.2,50,0,2.3,1613009198
352,Bodden Town,KY,19.2833,-81.25,79.0,83,75,4.61,1613009198
353,Codrington,AU,-38.2667,141.9667,90.28,26,100,17.18,1613008952
354,Nuuk,GL,64.1835,-51.7216,24.8,93,75,2.3,1613009198
355,Zacualtipán,MX,20.65,-98.6,56.73,95,25,2.48,1613009199
356,Namatanai,PG,-3.6667,152.4333,83.03,76,81,6.15,1613009060
357,Vágur,FO,61.4732,-6.8119,36.79,77,72,12.46,1613009199
